case_name_normalized,court,date,distinct_case_names,hanrei_docket_count,verdict,hanrei_dockets
地公災基金愛知県支部長事件,最高三小判,平成8.3.5,2,3,SPLIT_confirmed,平成４年（オ）７０１号|平成４年（行ツ）７０号|平成８年（行ツ）３号
大竹貿易事件,最高一小判,平成5.11.25,2,0,unresolved_no_hanrei,
大阪大学事件,大阪地判,平成29.9.25,2,0,unresolved_no_hanrei,
岐阜商工信用組合事件,最高二小判,昭和52.6.20,2,5,SPLIT_confirmed,昭和４８年（オ）１１１３号|昭和５１年（あ）５０１号|昭和５１年（オ）１０４１号|昭和５１年（オ）１２９３号|昭和５２年（オ）２６８号
市がその施行する土地区画整理事業において取得した保留地を随意契約の方法により売却する行為と住民訴訟,最高一小判,平成10.11.12,2,1,MERGE_party_alias,平成１０年（オ）１０５０号
愛媛玉串料訴訟,高松高判,平成4.5.12,2,0,unresolved_no_hanrei,
文化シャッター事件,静岡地浜松支判,平成9.3.24,2,0,unresolved_no_hanrei,
新日本製鉄事件,福岡地小倉支判,平成8.3.26,2,0,unresolved_no_hanrei,
新潟鉄工事件,東京高判,昭和60.12.4,2,0,unresolved_no_hanrei,
日本アイ・ビー・エム事件,東京高判,平成20.6.26,2,0,unresolved_no_hanrei,
日本アイ・ビー・エム事件,東京高判,平成24.10.31,2,0,unresolved_no_hanrei,
日本通運事件,東京地判,令和2.10.1,2,0,unresolved_no_hanrei,
東京リーガルマインド事件,東京地判,平成13.5.16,2,0,unresolved_no_hanrei,
東日本おしぼり協同組合事件,公取委,平成7.4.24,2,0,unresolved_no_hanrei,
東洋リノリューム事件,公取委,昭和55.2.7,2,0,unresolved_no_hanrei,
森永乳業事件,公取委,昭和52.11.28,2,0,unresolved_no_hanrei,
社会福祉法人積善会暁学園事件,最高一小判,平成19.1.25,2,0,unresolved_no_hanrei,
神戸税関事件,神戸地判,平成4.2.4,2,0,unresolved_no_hanrei,
立正佼成会事件,東京高判,平成20.10.22,2,0,unresolved_no_hanrei,
米国籍の夫婦の離婚事件,横浜地判,平成3.10.31,2,0,unresolved_no_hanrei,
花王化粧品販売事件,東京地判,平成6.7.18,2,0,unresolved_no_hanrei,
西ドイツの法状況からみた大隈鐵工所事件,名古屋地判,昭和62.7.27,2,0,unresolved_no_hanrei,
関西金属工業事件,大阪高判,平成19.5.17,2,0,unresolved_no_hanrei,
阪急交通社事件,東京地判,平成25.12.5,2,0,unresolved_no_hanrei,
表示装置及びプログラム事件,知財高判,令和4.7.20,3,0,unresolved_no_hanrei,
2020年2月26日の菊池事件国賠訴訟,熊本地判,令和2.2.26,2,0,unresolved_no_hanrei,
いわゆる沖縄ゼネスト警察官殺害事件国賠請求訴訟,最高一小判,平成1.6.29,3,1,MERGE_party_alias,昭和５９年（オ）１０３号
アイヌ民族サケ捕獲権確認請求事件,札幌地判,令和6.4.18,2,0,unresolved_no_hanrei,
三ツ星事件・新株予約権無償割当差止仮処分命令申立事件,最高二小決,令和4.7.28,2,0,unresolved_no_hanrei,
原産国不当表示について独禁法25条訴訟による損害賠償請求が認められた事件,東京高判,平成19.3.30,2,0,unresolved_no_hanrei,
我が国と中華人民共和国との間には民事訴訟,大阪高判,平成15.4.9,5,0,unresolved_no_hanrei,
氷見国賠訴訟,富山地判,平成27.3.9,2,0,unresolved_no_hanrei,
溶融亜鉛めっき鋼板及び鋼帯の製造販売業者によるカラー鋼板価格カルテル事件,東京高判,平成25.12.13,3,0,unresolved_no_hanrei,
K社事件,東京高判,平成30.8.29,3,0,unresolved_no_hanrei,
クボタ課徴金納付命令審決取消訴訟事件,東京高判,平成24.2.24,2,0,unresolved_no_hanrei,
ケイマン諸島ダブルSPCに関するTH課税事件,東京高判,令和4.3.10,3,0,unresolved_no_hanrei,
ダクタイル鋳鉄管直管の製造販売業者に対する課徴金納付命令事件,公取委,平成21.6.30,2,0,unresolved_no_hanrei,
ブライト証券賃金減額事件,東京地判,平成16.5.28,2,0,unresolved_no_hanrei,
主基斎田抜穂の儀参列住民訴訟,最高一小判,平成14.7.11,3,4,SPLIT_confirmed,平成１１年（受）６０２号|平成１１年（行ツ）９３号|平成１４年（オ）５６４号／平成１４年（受）５６６号|平成１４年（受）５３８号
九州訴訟福岡高裁・関西訴訟,福岡高判,平成4.2.28,2,0,unresolved_no_hanrei,
二酸化炭素含有粘性組成物事件,知財高判,令和1.6.7,2,0,unresolved_no_hanrei,
住友軽金属工業事件,最高三小判,平成18.4.11,3,2,SPLIT_confirmed,平成１４年（受）１１９９号|平成１４年（受）１３５８号／平成１４年（受）１３５９号
先行事件,東京地決,平成10.6.4,2,0,unresolved_no_hanrei,
労働組合のビラへの名誉毀損損害償請求事件,東京地判,平成17.3.28,3,0,unresolved_no_hanrei,
労災保険審査会への再審査請求を経ずになされた休業補償等不支給処分取消訴訟,最高一小判,平成7.7.6,2,2,SPLIT_confirmed,平成４年（行ツ）６８号|平成５年（行ツ）２０２号
原子力発電所の稼働差止めを求める仮処分命令申立事件,福岡高宮崎支決,平成28.4.6,2,0,unresolved_no_hanrei,
同性婚東京第一次訴訟,東京地判,令和4.11.30,3,0,unresolved_no_hanrei,
国立市建築物高さ制限条例無効確認等請求事件,東京地判,平成14.2.14,2,0,unresolved_no_hanrei,
国立研究開発法人国立精神・神経医療研究センター事件,東京高判,令和7.3.27,4,0,unresolved_no_hanrei,
境界確定の訴えと固有必要的共同訴訟,最高三小判,平成11.11.9,3,3,SPLIT_confirmed,平成９年（オ）４２６号|平成９年（オ）８７３号|平成９年（オ）９６号
実務と学説からみた憲法訴訟,岐阜地判,令和4.2.21,3,0,unresolved_no_hanrei,
実務と学説からみた憲法訴訟,大阪高判,令和4.2.22,2,0,unresolved_no_hanrei,
東京電力福島第一原発事故訴訟,横浜地判,平成31.2.20,4,0,unresolved_no_hanrei,
活性炭談合事件・本町化学工業による排除措置命令等取消請求訴訟,東京高判,令和6.10.16,2,0,unresolved_no_hanrei,
登記官の右地図上への記入が抗告訴訟の対象となる行政処分といえないから義務確認訴訟,東京地判,平成3.12.20,2,0,unresolved_no_hanrei,
系統外出荷制限における市場閉鎖効果が問題になった事件,東京高判,令和1.11.27,3,0,unresolved_no_hanrei,
譲渡制限のある株式の株式売買価格申請事件において株券の供託がないことを理由とする売買の解除が権利濫用にあたるとされた事件,名古屋高決,平成10.8.21,3,0,unresolved_no_hanrei,
12・6秘密法国会傍聴者弾圧事件,東京地判,平成27.2.24,3,0,unresolved_no_hanrei,
NHK番組期待権訴訟,最高一小判,平成20.6.12,3,0,unresolved_no_hanrei,
NHK記者証言拒絶事件,最高三小決,平成18.10.3,2,2,SPLIT_confirmed,平成１８年（オ）１３１５号／平成１８年（受）１５２１号|平成１８年（許）１９号
Twitterリツイート事件,知財高判,平成30.4.25,2,0,unresolved_no_hanrei,
で得た資料の逋脱事件,大阪地判,平成30.5.9,3,0,unresolved_no_hanrei,
はみ出し自販機による道路不法占有者に対する債権不行使と住民訴訟,最高二小判,平成16.4.23,2,3,SPLIT_confirmed,平成１２年（行ヒ）２４６号|平成１４年（受）２４８号|平成１５年（オ）１７４７号
アメリカ合衆国とカリフォルニア州法人間の損害賠償請求訴訟,東京地判,平成7.10.27,2,0,unresolved_no_hanrei,
イメーション対ワンブルー事件,東京地判,平成27.2.18,3,0,unresolved_no_hanrei,
ウォール・ストリート・ジャーナル事件,東京高判,平成6.10.27,2,0,unresolved_no_hanrei,
ウーバー・ジャパンほか1社事件,,令和4.11.25,3,30,SPLIT_confirmed,令和２年（ネ）４０９号|令和２年（ワ）１１６８６号|令和２年（ワ）２２２７５号|令和２年（ワ）２６２５号|令和２年（ワ）５１０６号|令和２年（ワ）８４８号
エアセパレートガス価格カルテル事件,東京高判,平成28.5.25,2,0,unresolved_no_hanrei,
エコリカ・キヤノン事件,大阪地判,令和5.6.2,3,0,unresolved_no_hanrei,
エフオーアイ損害賠償請求事件,東京地判,平成28.12.20,2,0,unresolved_no_hanrei,
オークビルサービス事件,東京高判,平成16.11.24,2,0,unresolved_no_hanrei,
キルビー事件,最高三小判,平成12.4.11,2,2,SPLIT_confirmed,平成１０年（オ）１８号|平成１０年（オ）３６４号
クレディ・スイス事件,東京地判,平成25.3.1,2,0,unresolved_no_hanrei,
コイル状ストラップ付きタッチペン事件,東京地判,平成24.12.25,3,0,unresolved_no_hanrei,
コメダ珈琲店・店舗外観事件,東京地決,平成28.12.19,2,0,unresolved_no_hanrei,
シャープエレクトロニクスマーケティング事件,大阪地判,平成12.2.23,3,0,unresolved_no_hanrei,
ソーダ灰の輸入取引に関する独占禁止法違反事件,審決,昭和58.3.31,2,0,unresolved_no_hanrei,
プライバシー権・名誉権侵害を理由に海外企業が掲載した記事等の削除を求めた訴訟,東京地判,平成28.11.30,2,0,unresolved_no_hanrei,
プロ野球ドリームナイン事件,知財高判,平成27.6.24,3,0,unresolved_no_hanrei,
ホームレス退去強制損害賠償請求事件,東京地判,平成27.3.13,2,0,unresolved_no_hanrei,
マルナカに対する排除措置命令事件,公取委,平成23.6.22,2,0,unresolved_no_hanrei,
メンディングテープ上記載手形金請求事件,大阪高判,平成11.10.14,2,0,unresolved_no_hanrei,
ユナイテッド航空事件,東京高判,平成12.11.28,3,0,unresolved_no_hanrei,
令和4年最判後の初の総則6項事件,東京地判,令和6.1.18,3,0,unresolved_no_hanrei,
伊波善春他対ノースウエスト・エアラインズ・インコーポレイテッド事件,東京高判,昭和57.7.19,3,0,unresolved_no_hanrei,
個人的鑑賞を目的とする猥褻表現物の輸入事件,東京高判,平成4.7.13,3,0,unresolved_no_hanrei,
優越的地位の濫用と独禁法25条訴訟,東京高判,平成26.5.30,2,0,unresolved_no_hanrei,
光華寮明渡請求事件,大阪高判,昭和57.4.14,2,0,unresolved_no_hanrei,
全日本手をつなぐ育成会事件,東京地判,平成28.10.26,2,0,unresolved_no_hanrei,
全逓ビラ貼り・建造物侵入事件,最高二小判,昭和58.4.8,3,1,MERGE_party_alias,昭和５５年（あ）９０６号
再生品の利用を妨げる措置と特許侵害訴訟,東京地判,令和2.7.22,2,0,unresolved_no_hanrei,
加治川水害訴訟,最高一小判,昭和60.3.28,2,4,SPLIT_confirmed,昭和５６年（オ）２９２号|昭和５７年（オ）５６０号|昭和５８年（行ツ）１０１号|昭和５９年（あ）１６００号
千里桃山台団地一括建替え事件,最高一小判,平成21.4.23,2,0,unresolved_no_hanrei,
原弘産対日本ハウズイング株主名簿閲覧謄写仮処分事件,東京高決,平成20.6.12,2,0,unresolved_no_hanrei,
品川白煉瓦事件,最高一小判,昭和32.11.14,2,6,SPLIT_confirmed,昭和２７年（オ）９６号|昭和３０年（オ）９６１号|昭和３０年（オ）９６２号|昭和３１年（オ）８９３号|昭和３１年（オ）９２６号|昭和３２年（オ）７４２号
唯一の証拠方法と民事訴訟,最高二小判,昭和30.9.9,3,7,SPLIT_confirmed,昭和２７年（オ）６５３号|昭和２８年（オ）１３１５号|昭和２８年（オ）４０７号|昭和２９年（テ）１３号|昭和２９年（テ）１４号|昭和３０年（オ）１７４号
国の規制権限の不行使による人権侵害事件,横浜地判,平成24.5.25,2,0,unresolved_no_hanrei,
国立市事件,東京地判,平成26.9.25,2,0,unresolved_no_hanrei,
国鉄乗車証団交拒否事件,東京地判,昭和61.2.27,2,0,unresolved_no_hanrei,
大学入学金等返還請求事件,京都地判,平成15.7.16,2,0,unresolved_no_hanrei,
大成会福岡記念病院事件,,昭和58.2.24,2,21,SPLIT_confirmed,昭和５０年（ワ）２７４９号／昭和５０年（ワ）２７５０号／昭和５０年（ワ）６１８３号／昭和５３年（ワ）１６７７号|昭和５２年（ワ）１９４号|昭和５２年（ワ）８２２３号|昭和５３年（行ウ）３号|昭和５３年（行ケ）２０２号|昭和５４年（ネ）３０７６号
大阪環状線福島駅事件,最高三小判,昭和61.3.25,2,1,MERGE_party_alias,昭和５８年（オ）１１３２号／昭和５８年（オ）１１３３号
奥道後路線バス私的独占事件,高松高判,昭和61.4.8,3,0,unresolved_no_hanrei,
学校法人南山学園事件,名古屋地判,令和1.7.30,2,0,unresolved_no_hanrei,
定期検診における結核看過事件,最高一小判,昭和57.4.1,2,2,SPLIT_confirmed,昭和５１年（オ）１２４９号|昭和５６年（オ）７８３号
専売公社山形工場戒告無効確認事件,最高一小判,昭和56.4.9,2,3,SPLIT_confirmed,昭和５３年（オ）１３３９号|昭和５３年（オ）４１４号|昭和５３年（オ）８２８号
広島県石商広島市連合会価格カルテル事件,公取委,平成9.6.24,3,0,unresolved_no_hanrei,
建築CADソフトウェア海賊版事件,東京地判,平成30.1.30,2,0,unresolved_no_hanrei,
当該特許権が無効審決により無効確定した場合の再審請求事件,知財高判,平成20.7.14,2,0,unresolved_no_hanrei,
捜査に関して作成された書類の写しが民事訴訟,最高三小決,平成31.1.22,3,0,unresolved_no_hanrei,
控訴審において初めてした過失相殺の主張を訴訟,最高一小判,平成20.3.27,3,0,unresolved_no_hanrei,
文書提出命令に従わない場合に民事訴訟,東京高判,平成14.1.31,2,0,unresolved_no_hanrei,
新協和海運事件,東京高判,平成30.4.25,2,0,unresolved_no_hanrei,
新潟水俣病事件,新潟地判,平成4.3.31,2,0,unresolved_no_hanrei,
日本アイ・ビー・エム事件,横浜地判,平成19.5.29,3,0,unresolved_no_hanrei,
日本交通株式会社ほか事件,東京地判,平成9.10.29,2,0,unresolved_no_hanrei,
日本航空事件,大阪地判,平成27.1.28,2,0,unresolved_no_hanrei,
日本言語研究所他法人格否認事件,東京地判,平成21.12.10,2,0,unresolved_no_hanrei,
日本郵便晴海郵便局事件,東京高判,令和1.7.11,2,0,unresolved_no_hanrei,
朝鮮学校に対する襲撃事件,大阪高判,平成26.7.8,3,0,unresolved_no_hanrei,
東京都水道メーター談合事件,最高二小決,平成12.9.25,2,1,MERGE_party_alias,平成１０年（あ）１４８号
株式会社ロッテホールディングス事件,東京地判,平成29.4.13,2,0,unresolved_no_hanrei,
消費税法を制定した国会議員の立法行為を理由とする国賠訴訟,東京地判,平成2.3.26,3,0,unresolved_no_hanrei,
淡路五色カントリー倶楽部名称続用事件,最高二小判,平成16.2.20,2,6,SPLIT_confirmed,平成１４年（受）３９９号|平成１４年（受）９１２号|平成１５年（オ）１９３６号／平成１５年（受）２０５３号|平成１５年（オ）３８６号／平成１５年（受）３９０号|平成１５年（受）２８３号|平成１５年（許）４８号
熊本県漁連・佐賀県有明海漁協事件,公取委,令和6.5.15,3,0,unresolved_no_hanrei,
生活保護基準引下げ違憲訴訟,東京地判,令和4.6.24,3,0,unresolved_no_hanrei,
白山比〓神社御鎮座二千百年式年大祭奉賛会事件,最高一小判,平成22.7.22,3,6,SPLIT_confirmed,平成２０年（オ）１３１０号／平成２０年（受）１５８９号|平成２０年（オ）１３１１号|平成２０年（受）１５９０号|平成２０年（行ツ）２０２号|平成２２年（オ）１０３４号／平成２２年（受）１２６９号|平成２２年（行ツ）５３号／平成２２年（行ヒ）５４号
県立高校校長による生徒会誌掲載拒否事件,東京高判,平成16.2.25,3,0,unresolved_no_hanrei,
石川島播磨東2工場事件,東京高判,昭和59.10.31,3,0,unresolved_no_hanrei,
確定判決の効力を受ける第三者の民事訴訟,最高一小決,平成25.11.21,2,3,SPLIT_confirmed,平成２３年（受）９８９号|平成２４年（受）１０５号|平成２４年（許）４３号
社会保険庁職員国家公務員法違反事件,東京地判,平成18.6.29,2,0,unresolved_no_hanrei,
神戸ポートピアホテル預かり品盗難事件,最高二小判,平成15.2.28,3,1,MERGE_party_alias,平成１３年（受）１０６１号
第2種市街地再開発事業の事業計画決定と取消訴訟,大阪地判,昭和61.3.26,2,0,unresolved_no_hanrei,
総理大臣靖国神社参拝違憲訴訟,福岡地判,平成16.4.7,2,0,unresolved_no_hanrei,
繁藤災害訴訟,高松高判,昭和63.1.22,2,0,unresolved_no_hanrei,
自己発熱性・自己反応性化学物質製造物責任事件,東京高判,平成26.10.29,3,0,unresolved_no_hanrei,
葛飾マンション立入事件,最高二小判,平成21.11.30,3,0,unresolved_no_hanrei,
裁量労働制の適用を否定したK工房事件,京都地判,平成29.4.27,2,0,unresolved_no_hanrei,
複数不動産に関する同一の競売事件,最高一小判,平成11.4.22,2,7,SPLIT_confirmed,平成１０年（行ツ）６１号|平成１０年（行ツ）８１号|平成７年（オ）１６０号|平成８年（オ）２４２０号|平成８年（オ）９９９号|平成９年（オ）１１０４号
要指導医薬品対面販売規制違憲訴訟,東京高判,平成31.2.6,3,0,unresolved_no_hanrei,
認知症鉄道事故訴訟,名古屋高判,平成26.4.24,3,0,unresolved_no_hanrei,
近江八幡市献穀祭訴訟,大阪高判,平成10.12.15,3,0,unresolved_no_hanrei,
遅くとも同種の集団訴訟,最高二小判,平成23.4.22,2,5,SPLIT_confirmed,平成２０年（受）１９４０号|平成２１年（受）１３１号|平成２１年（受）１８３０号|平成２１年（受）５１６号|平成２２年（受）１０７９号
配当表に債権者として記載されていない者と配当異議訴訟,最高一小判,平成6.7.14,2,9,SPLIT_confirmed,平成２年（オ）１１２８号|平成２年（オ）３９１号|平成３年（オ）１７６２号|平成４年（オ）９９６号|平成５年（行ツ）１６４号|平成６年（オ）２６０号
鉄道建設・運輸施設整備支援機構事件,東京高判,平成21.3.25,2,0,unresolved_no_hanrei,
銀行の本部の担当部署から各営業店長等にあてて発出されたいわゆる社内通達文書であって一般的な業務遂行上の指針等が記載されたものが民事訴訟,最高二小決,平成18.2.17,2,1,MERGE_party_alias,平成１７年（許）３９号
長崎島原中国人技能実習生事件,長崎地判,平成25.3.4,2,0,unresolved_no_hanrei,
長銀配当損害賠償事件,東京地判,平成17.5.19,3,0,unresolved_no_hanrei,
電算機プログラムの無断複製販売をめぐる損害賠償請求事件,東京地判,昭和57.12.6,2,0,unresolved_no_hanrei,
靖國神社合祀情報提供行為国賠訴訟,最高二小判,令和7.1.17,3,1,MERGE_party_alias,令和６年（受）２７５号
首都圏青年ユニオン執行委員長ほか事件,東京地判,令和2.11.13,3,0,unresolved_no_hanrei,
高専機構賃下げ事件,東京地判,平成27.1.21,3,0,unresolved_no_hanrei,
LPガス事件,東京高判,平成17.4.27,2,0,unresolved_no_hanrei,
いずみ生協事件,大阪地堺支判,平成15.6.18,2,0,unresolved_no_hanrei,
ときめきメモリアル事件,最高三小判,平成13.2.13,2,4,SPLIT_confirmed,平成１１年（受）９５５号|平成１２年（受）１４６３号|平成１２年（行ツ）３０２号|平成９年（オ）６３６号
アップルジャパン対三星電子事件,知財高判,平成26.5.16,2,0,unresolved_no_hanrei,
オートオークション事件,東京高判,平成5.6.28,2,0,unresolved_no_hanrei,
サブリース訴訟,最高三小判,平成15.10.21,2,2,SPLIT_confirmed,平成１２年（受）１２３号|平成１２年（受）５７３号／平成１２年（受）５７４号
ザ・ウィンザー・ホテルズインターナショナル事件,札幌高判,平成24.10.19,2,0,unresolved_no_hanrei,
シンガー・ソーイング・メシーン事件,最高二小判,昭和48.1.19,2,1,MERGE_party_alias,昭和４４年（オ）１０７３号
ジュース表示事件,最高三小判,昭和53.3.14,2,1,MERGE_party_alias,昭和４９年（行ツ）９９号
セクハラ労災訴訟,札幌地判,平成27.3.6,2,0,unresolved_no_hanrei,
ディー・エヌ・エー事件,公取委,平成23.6.9,2,0,unresolved_no_hanrei,
ハマナカ毛糸事件,東京高判,平成23.4.22,2,0,unresolved_no_hanrei,
ハンプテイ商会ほか1社事件,東京地判,令和2.6.11,2,0,unresolved_no_hanrei,
ビックカメラ事件,東京高判,平成25.7.19,2,0,unresolved_no_hanrei,
フーズシステムほか事件,東京地判,平成30.7.5,2,0,unresolved_no_hanrei,
ベネッセコーポレーション事件,東京地判,平成8.6.28,2,0,unresolved_no_hanrei,
ホワイト・コーワ号事件,東京地判,平成23.7.15,2,0,unresolved_no_hanrei,
ラーメンフランチャイズ事件,最高一小決,平成22.3.15,2,0,unresolved_no_hanrei,
リニア中央新幹線入札談合刑事事件,東京高判,令和5.3.2,2,0,unresolved_no_hanrei,
リング・リング・サーカス事件,最高一小判,平成9.9.4,2,0,unresolved_no_hanrei,
三菱重工難聴訴訟,最高一小判,平成3.4.11,2,0,unresolved_no_hanrei,
予防接種ワクチン禍事件,東京地判,昭和59.5.18,2,0,unresolved_no_hanrei,
公共下水道用鉄蓋カルテル事件,公取委,平成5.9.10,2,0,unresolved_no_hanrei,
医療法人Y事件,東京高判,平成27.10.7,2,0,unresolved_no_hanrei,
協同飼料相場操縦事件,最高三小決,平成6.7.20,2,1,MERGE_party_alias,昭和６３年（あ）１１０２号
反射効と共同訴訟,最高一小判,昭和51.10.21,2,2,SPLIT_confirmed,昭和４９年（オ）７６３号|昭和４９年（オ）９３７号
古都保存協力税条例を争う訴訟,大阪高判,昭和60.11.29,2,0,unresolved_no_hanrei,
国際自動車事件,東京地判,平成30.6.14,2,0,unresolved_no_hanrei,
地方税の賦課徴収権と住民訴訟,最高三小判,昭和38.3.12,2,3,SPLIT_confirmed,昭和３４年（オ）４４号|昭和３５年（オ）７８１号|昭和３５年（オ）９９２号
地方裁判所に対して訴えの提起をして判決を求める民事訴訟,東京高決,令和5.5.25,2,0,unresolved_no_hanrei,
学校法人聖望学園ほか事件,東京地判,平成21.4.27,2,0,unresolved_no_hanrei,
実務と学説からみた憲法訴訟,最高二小判,令和5.11.17,2,0,unresolved_no_hanrei,
実務と学説からみた憲法訴訟,東京地判,令和4.6.30,2,0,unresolved_no_hanrei,
展カタログ事件,東京高判,平成15.5.28,2,0,unresolved_no_hanrei,
岡山県北生コンクリート協同組合事件,公取委,平成27.2.27,2,0,unresolved_no_hanrei,
日本放送協会事件,名古屋高判,平成30.6.26,2,0,unresolved_no_hanrei,
日本郵便事件,最高二小判,平成30.9.14,2,2,SPLIT_confirmed,平成２９年（受）３４７号|平成３０年（オ）８６１号／平成３０年（受）１０６０号
日本高周波鋼業事件,富山地高岡支判,昭和62.10.15,2,0,unresolved_no_hanrei,
旧道路公団鋼橋工事談合刑事事件,東京高判,平成19.12.7,2,0,unresolved_no_hanrei,
明治商事事件,最高二小判,昭和50.7.11,2,3,SPLIT_confirmed,昭和４６年（行ツ）８３号|昭和４９年（オ）１０５２号|昭和５０年（ク）３６号
東レエンタープライズ事件,大阪高判,平成25.12.20,2,0,unresolved_no_hanrei,
東京中郵慣行休息権事件,東京地判,平成3.8.7,2,0,unresolved_no_hanrei,
東京相和銀行仮装増資事件,東京地判,平成18.5.25,2,0,unresolved_no_hanrei,
東京都発注個人防護具入札談合事件,公取委,平成29.12.12,2,0,unresolved_no_hanrei,
東光高岳事件,東京地判,令和6.4.25,2,0,unresolved_no_hanrei,
東日本旅客鉄道事件,東京高判,平成5.2.10,2,0,unresolved_no_hanrei,
東日本電信電話事件,東京地判,平成21.11.16,2,0,unresolved_no_hanrei,
武蔵野市マンション日照妨害事件,東京高判,昭和60.3.26,2,0,unresolved_no_hanrei,
