質問ID,モジュール,対象工程,優先度,質問種別,triage_区分,triage_根拠,p0_status(P0のみ),メモ
Q-001,00_設計原則・統治,全体,P1,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-002,00_設計原則・統治,全体,P1,実態/証跡,設計判断が必要,確認先=代表・事務局長/設計DD/運用会議→事実観測でなく統治・設計原則の方針決定,,
Q-003,00_設計原則・統治,全体,P0,実態/証跡,設計判断が必要,確認先=代表・事務局長/設計DD/運用会議→事実観測でなく統治・設計原則の方針決定,浅井聴取必須,方針決定（設計判断）で回答者候補に浅井先生→浅井聴取必須（現時点 未決）
Q-004,00_設計原則・統治,全体,P1,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-005,00_設計原則・統治,全体,P0,実態/証跡,設計判断が必要,確認先=代表・事務局長/設計DD/運用会議→事実観測でなく統治・設計原則の方針決定,浅井聴取必須,方針決定（設計判断）で回答者候補に浅井先生→浅井聴取必須（現時点 未決）
Q-006,00_設計原則・統治,全体,P0,実態/証跡,設計判断が必要,確認先=代表・事務局長/設計DD/運用会議→事実観測でなく統治・設計原則の方針決定,浅井聴取必須,方針決定（設計判断）で回答者候補に浅井先生→浅井聴取必須（現時点 未決）
Q-007,00_設計原則・統治,全体,P1,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-008,00_設計原則・統治,全体,P1,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-009,00_設計原則・統治,全体,P2,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-010,00_設計原則・統治,全体,P2,実態/証跡,設計判断が必要,確認先=代表・事務局長/設計DD/運用会議→事実観測でなく統治・設計原則の方針決定,,
Q-011,00_設計原則・統治,全体,P2,実態/証跡,設計判断が必要,確認先=代表・事務局長/設計DD/運用会議→事実観測でなく統治・設計原則の方針決定,,
Q-012,00_設計原則・統治,全体,P2,実態/証跡,設計判断が必要,確認先=代表・事務局長/設計DD/運用会議→事実観測でなく統治・設計原則の方針決定,,
Q-013,00_設計原則・統治,全体,P2,実態/証跡,設計判断が必要,確認先=代表・事務局長/設計DD/運用会議→事実観測でなく統治・設計原則の方針決定,,
Q-014,00_設計原則・統治,全体,P0,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,浅井聴取必須,方針決定（設計判断）で回答者候補に浅井先生→浅井聴取必須（現時点 未決）
Q-015,00_設計原則・統治,全体,P2,実態/証跡,設計判断が必要,確認先=代表・事務局長/設計DD/運用会議→事実観測でなく統治・設計原則の方針決定,,
Q-016,00_設計原則・統治,全体,P2,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-017,01_流入・問合せ受付,WF-00〜WF-02,P1,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,
Q-018,01_流入・問合せ受付,WF-00〜WF-02,P1,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,
Q-019,01_流入・問合せ受付,WF-00〜WF-02,P0,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要
Q-020,01_流入・問合せ受付,WF-00〜WF-02,P1,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,
Q-021,01_流入・問合せ受付,WF-00〜WF-02,P1,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,
Q-022,01_流入・問合せ受付,WF-00〜WF-02,P0,実態/証跡,既存資料から回答可能,確認先に電話マニュアル等の既存資料→既存資料で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要
Q-023,01_流入・問合せ受付,WF-00〜WF-02,P1,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,
Q-024,01_流入・問合せ受付,WF-00〜WF-02,P1,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,
Q-025,01_流入・問合せ受付,WF-00〜WF-02,P1,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,
Q-026,01_流入・問合せ受付,WF-00〜WF-02,P1,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-027,01_流入・問合せ受付,WF-00〜WF-02,P0,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,浅井聴取必須,方針決定（設計判断）→owner裁定要・浅井聴取必須（現時点 未決）
Q-028,01_流入・問合せ受付,WF-00〜WF-02,P2,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,
Q-029,01_流入・問合せ受付,WF-00〜WF-02,P2,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,[根拠弱:設問が方針選択を含み設計判断と両義。現状は実データ/実物で裏取り→方針はowner確認]
Q-030,01_流入・問合せ受付,WF-00〜WF-02,P2,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,
Q-031,01_流入・問合せ受付,WF-00〜WF-02,P2,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,
Q-032,01_流入・問合せ受付,WF-00〜WF-02,P2,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,
Q-033,01_流入・問合せ受付,WF-00〜WF-02,P2,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,
Q-034,01_流入・問合せ受付,WF-00〜WF-02,P2,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,
Q-035,01_流入・問合せ受付,WF-00〜WF-02,P2,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,
Q-036,01_流入・問合せ受付,WF-00〜WF-02,P2,実態/証跡,実データから回答可能,確認先=SF相談実データ/Gmail/Dialpad/HPフォーム→流入の自然発生データ観測で確認可能,,
Q-037,02_本人関係・コンフリ・トリアージ,WF-02〜WF-04,P0,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,浅井聴取必須,方針決定（設計判断）→owner裁定要・浅井聴取必須（現時点 未決）
Q-038,02_本人関係・コンフリ・トリアージ,WF-02〜WF-04,P0,実態/証跡,担当者聴取が必要,確認先=担当弁護士/事務局/過去コンフリ例→運用ルールは担当者聴取で確定,中森聴取必須,運用実態の担当者聴取要→中森（事務局長）聴取必須（現時点 未聴取）
Q-039,02_本人関係・コンフリ・トリアージ,WF-02〜WF-04,P1,実態/証跡,担当者聴取が必要,確認先=担当弁護士/事務局/過去コンフリ例→運用ルールは担当者聴取で確定,,
Q-040,02_本人関係・コンフリ・トリアージ,WF-02〜WF-04,P1,実態/証跡,担当者聴取が必要,確認先=担当弁護士/事務局/過去コンフリ例→運用ルールは担当者聴取で確定,,
Q-041,02_本人関係・コンフリ・トリアージ,WF-02〜WF-04,P1,実態/証跡,実データから回答可能,自動観測性=実査可・確認先がシステム実データ（SF/Calendar等）→自然発生データ観測で確定,,
Q-042,02_本人関係・コンフリ・トリアージ,WF-02〜WF-04,P1,実態/証跡,担当者聴取が必要,確認先=担当弁護士/事務局/過去コンフリ例→運用ルールは担当者聴取で確定,,
Q-043,02_本人関係・コンフリ・トリアージ,WF-02〜WF-04,P1,実態/証跡,担当者聴取が必要,確認先=担当弁護士/事務局/過去コンフリ例→運用ルールは担当者聴取で確定,,
Q-044,02_本人関係・コンフリ・トリアージ,WF-02〜WF-04,P1,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-045,02_本人関係・コンフリ・トリアージ,WF-02〜WF-04,P2,実態/証跡,担当者聴取が必要,確認先=担当弁護士/事務局/過去コンフリ例→運用ルールは担当者聴取で確定,,
Q-046,02_本人関係・コンフリ・トリアージ,WF-02〜WF-04,P0,実態/証跡,担当者聴取が必要,確認先=担当弁護士/事務局/過去コンフリ例→運用ルールは担当者聴取で確定,中森聴取必須,運用実態の担当者聴取要→中森（事務局長）聴取必須（現時点 未聴取）
Q-047,02_本人関係・コンフリ・トリアージ,WF-02〜WF-04,P0,実態/証跡,担当者聴取が必要,確認先=担当弁護士/事務局/過去コンフリ例→運用ルールは担当者聴取で確定,中森聴取必須,運用実態の担当者聴取要→中森（事務局長）聴取必須（現時点 未聴取）
Q-048,02_本人関係・コンフリ・トリアージ,WF-02〜WF-04,P2,実態/証跡,担当者聴取が必要,確認先=担当弁護士/事務局/過去コンフリ例→運用ルールは担当者聴取で確定,,
Q-049,02_本人関係・コンフリ・トリアージ,WF-02〜WF-04,P2,実態/証跡,担当者聴取が必要,確認先=担当弁護士/事務局/過去コンフリ例→運用ルールは担当者聴取で確定,,
Q-050,02_本人関係・コンフリ・トリアージ,WF-02〜WF-04,P2,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-051,02_本人関係・コンフリ・トリアージ,WF-02〜WF-04,P2,実態/証跡,担当者聴取が必要,確認先=担当弁護士/事務局/過去コンフリ例→運用ルールは担当者聴取で確定,,
Q-052,02_本人関係・コンフリ・トリアージ,WF-02〜WF-04,P2,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-053,02_本人関係・コンフリ・トリアージ,WF-02〜WF-04,P2,実態/証跡,担当者聴取が必要,確認先=担当弁護士/事務局/過去コンフリ例→運用ルールは担当者聴取で確定,,
Q-054,03_日程調整・事前準備,WF-05〜WF-06,P1,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-055,03_日程調整・事前準備,WF-05〜WF-06,P1,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-056,03_日程調整・事前準備,WF-05〜WF-06,P1,実態/証跡,実データから回答可能,確認先=Calendar/Gmail等の日程実データ→自然発生データ観測で確認可能,,
Q-057,03_日程調整・事前準備,WF-05〜WF-06,P1,実態/証跡,実データから回答可能,確認先=Calendar/Gmail等の日程実データ→自然発生データ観測で確認可能,,
Q-058,03_日程調整・事前準備,WF-05〜WF-06,P1,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-059,03_日程調整・事前準備,WF-05〜WF-06,P1,実態/証跡,実データから回答可能,確認先=Calendar/Gmail等の日程実データ→自然発生データ観測で確認可能,,
Q-060,03_日程調整・事前準備,WF-05〜WF-06,P1,実態/証跡,既存資料から回答可能,確認先=相談案内テンプレ/相談票→既存テンプレ・様式（既存資料）で確認可能,,
Q-061,03_日程調整・事前準備,WF-05〜WF-06,P1,実態/証跡,実データから回答可能,確認先=Calendar/Gmail等の日程実データ→自然発生データ観測で確認可能,,[根拠弱:設問が方針選択を含み設計判断と両義。現状は実データ/実物で裏取り→方針はowner確認]
Q-062,03_日程調整・事前準備,WF-05〜WF-06,P0,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,浅井聴取必須,方針決定（設計判断）→owner裁定要・浅井聴取必須（現時点 未決）
Q-063,03_日程調整・事前準備,WF-05〜WF-06,P2,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-064,03_日程調整・事前準備,WF-05〜WF-06,P2,実態/証跡,実データから回答可能,確認先=Calendar/Gmail等の日程実データ→自然発生データ観測で確認可能,,
Q-065,03_日程調整・事前準備,WF-05〜WF-06,P2,実態/証跡,実データから回答可能,確認先=Calendar/Gmail等の日程実データ→自然発生データ観測で確認可能,,
Q-066,03_日程調整・事前準備,WF-05〜WF-06,P2,実態/証跡,実データから回答可能,確認先=Calendar/Gmail等の日程実データ→自然発生データ観測で確認可能,,
Q-067,03_日程調整・事前準備,WF-05〜WF-06,P2,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-068,03_日程調整・事前準備,WF-05〜WF-06,P2,実態/証跡,実データから回答可能,確認先=Calendar/Gmail等の日程実データ→自然発生データ観測で確認可能,,
Q-069,03_日程調整・事前準備,WF-05〜WF-06,P2,実態/証跡,実データから回答可能,確認先=Calendar/Gmail等の日程実データ→自然発生データ観測で確認可能,,
Q-070,04_相談実施・相談後評価,WF-07〜WF-08,P1,実態/証跡,実データから回答可能,自動観測性=実査可・確認先がシステム実データ（SF/Calendar等）→自然発生データ観測で確定,,
Q-071,04_相談実施・相談後評価,WF-07〜WF-08,P1,実態/証跡,実データから回答可能,確認先=Notta/Meet/SF活動履歴→相談記録の自然発生データ観測で確認可能,,
Q-072,04_相談実施・相談後評価,WF-07〜WF-08,P1,実態/証跡,実データから回答可能,確認先=Notta/Meet/SF活動履歴→相談記録の自然発生データ観測で確認可能,,
Q-073,04_相談実施・相談後評価,WF-07〜WF-08,P0,実態/証跡,既存資料から回答可能,確認先=相談票（既存様式）→既存資料で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要 [根拠弱:設問が方針選択を含み設計判断と両義。現状は実データ/実物で裏取り→方針はowner確認]
Q-074,04_相談実施・相談後評価,WF-07〜WF-08,P0,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,浅井聴取必須,方針決定（設計判断）→owner裁定要・浅井聴取必須（現時点 未決）
Q-075,04_相談実施・相談後評価,WF-07〜WF-08,P1,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-076,04_相談実施・相談後評価,WF-07〜WF-08,P1,実態/証跡,実データから回答可能,確認先=Notta/Meet/SF活動履歴→相談記録の自然発生データ観測で確認可能,,
Q-077,04_相談実施・相談後評価,WF-07〜WF-08,P1,実態/証跡,実データから回答可能,確認先=Notta/Meet/SF活動履歴→相談記録の自然発生データ観測で確認可能,,
Q-078,04_相談実施・相談後評価,WF-07〜WF-08,P0,実態/証跡,実データから回答可能,確認先=Notta/Meet/SF活動履歴→相談記録の自然発生データ観測で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要
Q-079,04_相談実施・相談後評価,WF-07〜WF-08,P2,実態/証跡,実データから回答可能,確認先=Notta/Meet/SF活動履歴→相談記録の自然発生データ観測で確認可能,,
Q-080,04_相談実施・相談後評価,WF-07〜WF-08,P2,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-081,04_相談実施・相談後評価,WF-07〜WF-08,P2,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-082,04_相談実施・相談後評価,WF-07〜WF-08,P2,実態/証跡,実データから回答可能,自動観測性=実査可・確認先がシステム実データ（SF/Calendar等）→自然発生データ観測で確定,,
Q-083,04_相談実施・相談後評価,WF-07〜WF-08,P2,実態/証跡,実データから回答可能,確認先=Notta/Meet/SF活動履歴→相談記録の自然発生データ観測で確認可能,,
Q-084,04_相談実施・相談後評価,WF-07〜WF-08,P2,実態/証跡,実データから回答可能,確認先=Notta/Meet/SF活動履歴→相談記録の自然発生データ観測で確認可能,,
Q-085,04_相談実施・相談後評価,WF-07〜WF-08,P2,実態/証跡,実データから回答可能,確認先=Notta/Meet/SF活動履歴→相談記録の自然発生データ観測で確認可能,,
Q-086,04_相談実施・相談後評価,WF-07〜WF-08,P0,実態/証跡,実データから回答可能,確認先=Notta/Meet/SF活動履歴→相談記録の自然発生データ観測で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要
Q-087,04_相談実施・相談後評価,WF-07〜WF-08,P2,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-088,05_見積・提案・受任契約,WF-09〜WF-12,P1,実態/証跡,実データから回答可能,確認先=Gmailスレッド/SF変換履歴→受任ファネルの自然発生データ観測で確認可能,,
Q-089,05_見積・提案・受任契約,WF-09〜WF-12,P1,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-090,05_見積・提案・受任契約,WF-09〜WF-12,P1,実態/証跡,実物サンプル確認で回答可能,確認先=Box契約類→契約・提案の実ファイル層化サンプル確認で確定,,
Q-091,05_見積・提案・受任契約,WF-09〜WF-12,P1,実態/証跡,実物サンプル確認で回答可能,確認先=Box契約類→契約・提案の実ファイル層化サンプル確認で確定,,
Q-092,05_見積・提案・受任契約,WF-09〜WF-12,P1,実態/証跡,実データから回答可能,確認先=Gmailスレッド/SF変換履歴→受任ファネルの自然発生データ観測で確認可能,,
Q-093,05_見積・提案・受任契約,WF-09〜WF-12,P1,実態/証跡,実データから回答可能,確認先=Gmailスレッド/SF変換履歴→受任ファネルの自然発生データ観測で確認可能,,
Q-094,05_見積・提案・受任契約,WF-09〜WF-12,P1,実態/証跡,実データから回答可能,確認先=Gmailスレッド/SF変換履歴→受任ファネルの自然発生データ観測で確認可能,,
Q-095,05_見積・提案・受任契約,WF-09〜WF-12,P1,実態/証跡,実データから回答可能,確認先=Gmailスレッド/SF変換履歴→受任ファネルの自然発生データ観測で確認可能,,
Q-096,05_見積・提案・受任契約,WF-09〜WF-12,P1,実態/証跡,実データから回答可能,確認先=Gmailスレッド/SF変換履歴→受任ファネルの自然発生データ観測で確認可能,,
Q-097,05_見積・提案・受任契約,WF-09〜WF-12,P1,実態/証跡,実データから回答可能,確認先=Gmailスレッド/SF変換履歴→受任ファネルの自然発生データ観測で確認可能,,
Q-098,05_見積・提案・受任契約,WF-09〜WF-12,P0,実態/証跡,実データから回答可能,確認先=Gmailスレッド/SF変換履歴→受任ファネルの自然発生データ観測で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要
Q-099,05_見積・提案・受任契約,WF-09〜WF-12,P2,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-100,05_見積・提案・受任契約,WF-09〜WF-12,P2,実態/証跡,実データから回答可能,確認先=Gmailスレッド/SF変換履歴→受任ファネルの自然発生データ観測で確認可能,,
Q-101,05_見積・提案・受任契約,WF-09〜WF-12,P0,実態/証跡,実データから回答可能,確認先=Gmailスレッド/SF変換履歴→受任ファネルの自然発生データ観測で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要
Q-102,05_見積・提案・受任契約,WF-09〜WF-12,P2,実態/証跡,実データから回答可能,確認先=Gmailスレッド/SF変換履歴→受任ファネルの自然発生データ観測で確認可能,,
Q-103,05_見積・提案・受任契約,WF-09〜WF-12,P0,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,浅井聴取必須,方針決定（設計判断）→owner裁定要・浅井聴取必須（現時点 未決）
Q-104,05_見積・提案・受任契約,WF-09〜WF-12,P0,実態/証跡,実物サンプル確認で回答可能,自動観測性=実査可・確認先に実物（契約類/既済案件/返却記録）→実物サンプル確認で確定,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要
Q-105,05_見積・提案・受任契約,WF-09〜WF-12,P2,実態/証跡,実データから回答可能,確認先=Gmailスレッド/SF変換履歴→受任ファネルの自然発生データ観測で確認可能,,
Q-106,05_見積・提案・受任契約,WF-09〜WF-12,P2,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
Q-107,05_見積・提案・受任契約,WF-09〜WF-12,P2,実態/証跡,実データから回答可能,確認先=Gmailスレッド/SF変換履歴→受任ファネルの自然発生データ観測で確認可能,,[根拠弱:設問が方針選択を含み設計判断と両義。現状は実データ/実物で裏取り→方針はowner確認]
Q-108,05_見積・提案・受任契約,WF-09〜WF-12,P2,実態/証跡,実データから回答可能,確認先=Gmailスレッド/SF変換履歴→受任ファネルの自然発生データ観測で確認可能,,
Q-109,06_料金・請求・入出金,WF-09〜WF-22,P1,実態/証跡,実データから回答可能,確認先=MF/SF会計系/請求メール→請求・入出金の自然発生データ観測で確認可能,,
Q-110,06_料金・請求・入出金,WF-09〜WF-22,P1,実態/証跡,実データから回答可能,確認先=MF/SF会計系/請求メール→請求・入出金の自然発生データ観測で確認可能,,
Q-111,06_料金・請求・入出金,WF-09〜WF-22,P1,実態/証跡,実データから回答可能,確認先=MF/SF会計系/請求メール→請求・入出金の自然発生データ観測で確認可能,,[根拠弱:設問が方針選択を含み設計判断と両義。現状は実データ/実物で裏取り→方針はowner確認]
Q-112,06_料金・請求・入出金,WF-09〜WF-22,P1,実態/証跡,実データから回答可能,確認先=MF/SF会計系/請求メール→請求・入出金の自然発生データ観測で確認可能,,[根拠弱:設問が方針選択を含み設計判断と両義。現状は実データ/実物で裏取り→方針はowner確認]
Q-113,06_料金・請求・入出金,WF-09〜WF-22,P1,実態/証跡,実データから回答可能,確認先=MF/SF会計系/請求メール→請求・入出金の自然発生データ観測で確認可能,,
Q-114,06_料金・請求・入出金,WF-09〜WF-22,P1,実態/証跡,実データから回答可能,確認先=MF/SF会計系/請求メール→請求・入出金の自然発生データ観測で確認可能,,
Q-115,06_料金・請求・入出金,WF-09〜WF-22,P1,実態/証跡,実データから回答可能,確認先=MF/SF会計系/請求メール→請求・入出金の自然発生データ観測で確認可能,,
Q-116,06_料金・請求・入出金,WF-09〜WF-22,P1,実態/証跡,実データから回答可能,確認先=MF/SF会計系/請求メール→請求・入出金の自然発生データ観測で確認可能,,
Q-117,06_料金・請求・入出金,WF-09〜WF-22,P0,実態/証跡,実データから回答可能,確認先=MF/SF会計系/請求メール→請求・入出金の自然発生データ観測で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要
Q-118,06_料金・請求・入出金,WF-09〜WF-22,P1,実態/証跡,実データから回答可能,確認先=MF/SF会計系/請求メール→請求・入出金の自然発生データ観測で確認可能,,
Q-119,06_料金・請求・入出金,WF-09〜WF-22,P1,実態/証跡,実データから回答可能,自動観測性=実査可・確認先がシステム実データ（SF/Calendar等）→自然発生データ観測で確定,,
Q-120,06_料金・請求・入出金,WF-09〜WF-22,P1,実態/証跡,実データから回答可能,確認先=MF/SF会計系/請求メール→請求・入出金の自然発生データ観測で確認可能,,
Q-121,06_料金・請求・入出金,WF-09〜WF-22,P1,実態/証跡,実データから回答可能,確認先=MF/SF会計系/請求メール→請求・入出金の自然発生データ観測で確認可能,,
Q-122,06_料金・請求・入出金,WF-09〜WF-22,P2,実態/証跡,実データから回答可能,確認先=MF/SF会計系/請求メール→請求・入出金の自然発生データ観測で確認可能,,
Q-123,06_料金・請求・入出金,WF-09〜WF-22,P2,実態/証跡,実データから回答可能,確認先=MF/SF会計系/請求メール→請求・入出金の自然発生データ観測で確認可能,,
Q-124,06_料金・請求・入出金,WF-09〜WF-22,P2,実態/証跡,実データから回答可能,確認先=MF/SF会計系/請求メール→請求・入出金の自然発生データ観測で確認可能,,
Q-125,06_料金・請求・入出金,WF-09〜WF-22,P0,実態/証跡,実データから回答可能,確認先=MF/SF会計系/請求メール→請求・入出金の自然発生データ観測で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要 [根拠弱:設問が方針選択を含み設計判断と両義。現状は実データ/実物で裏取り→方針はowner確認]
Q-126,06_料金・請求・入出金,WF-09〜WF-22,P0,実態/証跡,実データから回答可能,確認先=MF/SF会計系/請求メール→請求・入出金の自然発生データ観測で確認可能,暫定回答・追加検証要,実データ/実物が存在するが実査・サンプル確認が未了→暫定回答・追加検証要
Q-127,06_料金・請求・入出金,WF-09〜WF-22,P2,実態/証跡,実データから回答可能,自動観測性=実査可・確認先がシステム実データ（SF/Calendar等）→自然発生データ観測で確定,,
Q-128,06_料金・請求・入出金,WF-09〜WF-22,P2,実態/証跡,実データから回答可能,確認先=MF/SF会計系/請求メール→請求・入出金の自然発生データ観測で確認可能,,
Q-129,06_料金・請求・入出金,WF-09〜WF-22,P2,定義/ルール,設計判断が必要,自動観測性=聴取必須かつ質問種別=定義/ルール→事実観測不可・方針決定（owner裁定）,,
