bib_id	ndl_bib_id_present	pub_year	publisher	author	title
alo:book:manual:title_5419		2017	信山社	三上威彦	倒産法_三上威彦著
alo:book:manual:title_3636		2022	日本商事仲裁協会		JCAジャーナル 2022年12月号
alo:book:manual:title_4023		2022	日本商事仲裁協会		JCAジャーナル 2022年1月号
alo:book:manual:title_3994		2022	日本商事仲裁協会		JCAジャーナル 2022年2月号
alo:book:manual:title_3961		2022	日本商事仲裁協会		JCAジャーナル 2022年3月号
alo:book:manual:title_3909		2022	日本商事仲裁協会		JCAジャーナル 2022年4月号
alo:book:manual:title_2998		2024	中央経済社		ビジネス法務2024年8月号
alo:book:manual:title_3866		2022	日本商事仲裁協会		JCAジャーナル 2022年5月号
alo:book:manual:title_3839		2022	日本商事仲裁協会		JCAジャーナル 2022年6月号
alo:book:manual:title_3808		2022	日本商事仲裁協会		JCAジャーナル 2022年7月号
alo:book:manual:title_2974		2024	中央経済社		ビジネス法務2024年9月号
alo:book:manual:title_3784		2022	日本商事仲裁協会		JCAジャーナル 2022年8月号
alo:book:manual:title_3755		2022	日本商事仲裁協会		JCAジャーナル 2022年9月号
alo:book:manual:title_3276		2023	日本商事仲裁協会		JCAジャーナル 2023年10月号
alo:book:manual:title_3231		2023	日本商事仲裁協会		JCAジャーナル 2023年11月号
alo:book:manual:title_3204		2023	日本商事仲裁協会		JCAジャーナル 2023年12月号
alo:book:manual:title_3602		2023	日本商事仲裁協会		JCAジャーナル 2023年1月号
alo:book:manual:title_3560		2023	日本商事仲裁協会		JCAジャーナル 2023年2月号
alo:book:manual:title_3523		2023	日本商事仲裁協会		JCAジャーナル 2023年3月号
alo:book:manual:title_3467		2023	日本商事仲裁協会		JCAジャーナル 2023年4月号
alo:book:manual:title_3422		2023	日本商事仲裁協会		JCAジャーナル 2023年5月号
alo:book:manual:title_2865		2024	中央経済社		ビジネス法務2025年1月号
alo:book:manual:title_3393		2023	日本商事仲裁協会		JCAジャーナル 2023年6月号
alo:book:manual:title_3365		2023	日本商事仲裁協会		JCAジャーナル 2023年7月号
alo:book:manual:title_3336		2023	日本商事仲裁協会		JCAジャーナル 2023年8月号
alo:book:manual:title_1602	028191422		新日本法規出版		最新会社法務モデル文例・書式集
alo:book:manual:title_3306		2023	日本商事仲裁協会		JCAジャーナル 2023年9月号
alo:book:manual:title_2909		2024	日本商事仲裁協会		JCAジャーナル 2024年10月号
alo:book:manual:title_2842		2024	中央経済社		ビジネス法務2025年2月号
alo:book:manual:title_2819		2025	中央経済社		ビジネス法務2025年3月号
alo:book:manual:title_2802		2025	中央経済社		ビジネス法務2025年4月号
alo:book:manual:title_2882		2024	日本商事仲裁協会		JCAジャーナル 2024年11月号
alo:book:manual:title_2854		2024	日本商事仲裁協会		JCAジャーナル 2024年12月号
alo:book:manual:title_3171		2024	日本商事仲裁協会		JCAジャーナル 2024年1月号
alo:book:manual:title_3144		2024	日本商事仲裁協会		JCAジャーナル 2024年2月号
alo:book:manual:title_3110		2024	日本商事仲裁協会		JCAジャーナル 2024年3月号
alo:book:manual:title_3069		2024	日本商事仲裁協会		JCAジャーナル 2024年4月号
alo:book:manual:title_3040		2024	日本商事仲裁協会		JCAジャーナル 2024年5月号
alo:book:manual:title_3013		2024	日本商事仲裁協会		JCAジャーナル 2024年6月号
alo:book:manual:title_2980		2024	日本商事仲裁協会		JCAジャーナル 2024年7月号
alo:book:manual:title_2961		2024	日本商事仲裁協会		JCAジャーナル 2024年8月号
alo:book:manual:title_5415		2017	日本商事仲裁協会		JCAジャーナル 2017年8月号
alo:book:manual:title_5402		2017	日本商事仲裁協会		JCAジャーナル 2017年9月号
alo:book:manual:title_2773		2025	中央経済社		ビジネス法務2025年5月号
alo:book:manual:title_5152		2018	日本商事仲裁協会		JCAジャーナル 2018年10月号
alo:book:manual:title_5130		2018	日本商事仲裁協会		JCAジャーナル 2018年11月号
alo:book:manual:title_2728		2025	中央経済社		ビジネス法務2025年6月号
alo:book:manual:title_5104		2018	日本商事仲裁協会		JCAジャーナル 2018年12月号
alo:book:manual:title_5334		2018	日本商事仲裁協会		JCAジャーナル 2018年1月号
alo:book:manual:title_5323		2018	日本商事仲裁協会		JCAジャーナル 2018年2月号
alo:book:manual:title_5304		2018	日本商事仲裁協会		JCAジャーナル 2018年3月号
alo:book:manual:title_5290		2018	日本商事仲裁協会		JCAジャーナル 2018年4月号
alo:book:manual:title_5267		2018	日本商事仲裁協会		JCAジャーナル 2018年5月号
alo:book:manual:title_5250		2018	日本商事仲裁協会		JCAジャーナル 2018年6月号
alo:book:manual:title_5223		2018	日本商事仲裁協会		JCAジャーナル 2018年7月号
alo:book:manual:title_5197		2018	日本商事仲裁協会		JCAジャーナル 2018年8月号
alo:book:manual:title_5179		2018	日本商事仲裁協会		JCAジャーナル 2018年9月号
alo:book:manual:title_2705		2025	中央経済社		ビジネス法務2025年7月号
alo:book:manual:title_4852		2019	日本商事仲裁協会		JCAジャーナル 2019年10月号
alo:book:manual:title_4833		2019	日本商事仲裁協会		JCAジャーナル 2019年11月号
alo:book:manual:title_4804		2019	日本商事仲裁協会		JCAジャーナル 2019年12月号
alo:book:manual:title_5086		2019	日本商事仲裁協会		JCAジャーナル 2019年1月号
alo:book:manual:title_5068		2019	日本商事仲裁協会		JCAジャーナル 2019年2月号
alo:book:manual:title_5046		2019	日本商事仲裁協会		JCAジャーナル 2019年3月号
alo:book:manual:title_5016		2019	日本商事仲裁協会		JCAジャーナル 2019年4月号
alo:book:manual:title_4992		2019	日本商事仲裁協会		JCAジャーナル 2019年5月号
alo:book:manual:title_4972		2019	日本商事仲裁協会		JCAジャーナル 2019年6月号
alo:book:manual:title_4914		2019	日本商事仲裁協会		JCAジャーナル 2019年8月号
alo:book:manual:title_4891		2019	日本商事仲裁協会		JCAジャーナル 2019年9月号
alo:book:manual:title_4515		2020	日本商事仲裁協会		JCAジャーナル 2020年10月号
alo:book:manual:title_4489		2020	日本商事仲裁協会		JCAジャーナル 2020年11月号
alo:book:manual:title_3765		2022	日本評論社		AIと民法
alo:book:manual:title_4459		2020	日本商事仲裁協会		JCAジャーナル 2020年12月号
alo:book:manual:title_2687		2025	中央経済社		ビジネス法務2025年8月号
alo:book:manual:title_4776		2020	日本商事仲裁協会		JCAジャーナル 2020年1月号
alo:book:manual:title_4751		2020	日本商事仲裁協会		JCAジャーナル 2020年2月号
alo:book:manual:title_4732		2020	日本商事仲裁協会		JCAジャーナル 2020年3月号
alo:book:manual:title_4693		2020	日本商事仲裁協会		JCAジャーナル 2020年4月号
alo:book:manual:title_4658		2020	日本商事仲裁協会		JCAジャーナル 2020年5月号
alo:book:manual:title_4621		2020	日本商事仲裁協会		JCAジャーナル 2020年6月号
alo:book:manual:title_2661		2025	中央経済社		ビジネス法務2025年9月号
alo:book:manual:title_5828		2015	税務経理協会		税経通信 2015年02月号
alo:book:manual:title_4597		2020	日本商事仲裁協会		JCAジャーナル 2020年7月号
alo:book:manual:title_4572		2020	日本商事仲裁協会		JCAジャーナル 2020年8月号
alo:book:manual:title_5824		2015	税務経理協会		税経通信 2015年03月号
alo:book:manual:title_4550		2020	日本商事仲裁協会		JCAジャーナル 2020年9月号
alo:book:manual:title_4120		2021	日本商事仲裁協会		JCAジャーナル 2021年10月号
alo:book:manual:title_4085		2021	日本商事仲裁協会		JCAジャーナル 2021年11月号
alo:book:manual:title_4060		2021	日本商事仲裁協会		JCAジャーナル 2021年12月号
alo:book:manual:title_4420		2021	日本商事仲裁協会		JCAジャーナル 2021年1月号
alo:book:manual:title_5817		2015	税務経理協会		税経通信 2015年04月号
alo:book:manual:title_4397		2021	日本商事仲裁協会		JCAジャーナル 2021年2月号
alo:book:manual:title_4366		2021	日本商事仲裁協会		JCAジャーナル 2021年3月号
alo:book:manual:title_4315		2021	日本商事仲裁協会		JCAジャーナル 2021年4月号
alo:book:manual:title_5805		2015	税務経理協会		税経通信 2015年05月号
alo:book:manual:title_4284		2021	日本商事仲裁協会		JCAジャーナル 2021年5月号
alo:book:manual:title_4248		2021	日本商事仲裁協会		JCAジャーナル 2021年6月号
alo:book:manual:title_4211		2021	日本商事仲裁協会		JCAジャーナル 2021年7月号
alo:book:manual:title_4183		2021	日本商事仲裁協会		JCAジャーナル 2021年8月号
alo:book:manual:title_3646		2022	日本評論社		#ゼミを語ろう
alo:book:manual:title_4158		2021	日本商事仲裁協会		JCAジャーナル 2021年9月号
alo:book:manual:title_6012		2001	経営書院(産労総合研究所)	秋田成就(監修)	2001年版 重要労働判例総覧
alo:book:manual:title_5994	000000049244	2007	経営書院(産労総合研究所)	産労総合研究所(編集)	2007年版 重要労働判例総覧
alo:book:manual:title_3606		2023	日本評論社		2022年の新法・改正法を考える
alo:book:manual:title_3623		2022	経営書院(産労総合研究所)	産労総合研究所(編集)	2023年版 モデル賃金実態資料
alo:book:manual:title_2860		2024	BUSINESS LAWYERS	中井 杏(弁護士)	60分で要点を理解する!個人情報保護法の実務における基礎
alo:book:manual:title_3715		2022	日本商事仲裁協会		JCAジャーナル 2022年10月号
alo:book:manual:title_4905		2019	レクシスネクシス・ジャパン		BUSINESS LAW JOURNAL 2019年10月号
alo:book:manual:title_4879		2019	レクシスネクシス・ジャパン		BUSINESS LAW JOURNAL 2019年11月号
alo:book:manual:title_4842		2019	レクシスネクシス・ジャパン		BUSINESS LAW JOURNAL 2019年12月号
alo:book:manual:title_5120		2018	レクシスネクシス・ジャパン		BUSINESS LAW JOURNAL 2019年1月号
alo:book:manual:title_5098		2018	レクシスネクシス・ジャパン		BUSINESS LAW JOURNAL 2019年2月号
alo:book:manual:title_5080		2019	レクシスネクシス・ジャパン		BUSINESS LAW JOURNAL 2019年3月号
alo:book:manual:title_5058		2019	レクシスネクシス・ジャパン		BUSINESS LAW JOURNAL 2019年4月号
alo:book:manual:title_5041		2019	レクシスネクシス・ジャパン		BUSINESS LAW JOURNAL 2019年5月号
alo:book:manual:title_5007		2019	レクシスネクシス・ジャパン		BUSINESS LAW JOURNAL 2019年6月号
alo:book:manual:title_4987		2019	レクシスネクシス・ジャパン		BUSINESS LAW JOURNAL 2019年7月号
alo:book:manual:title_4953		2019	レクシスネクシス・ジャパン		BUSINESS LAW JOURNAL 2019年8月号
alo:book:manual:title_4930		2019	レクシスネクシス・ジャパン		BUSINESS LAW JOURNAL 2019年9月号
alo:book:manual:title_4824		2019	レクシスネクシス・ジャパン		BUSINESS LAW JOURNAL 2020年1月号
alo:book:manual:title_4792		2019	レクシスネクシス・ジャパン		BUSINESS LAW JOURNAL 2020年2月号
alo:book:manual:title_4764		2020	レクシスネクシス・ジャパン		BUSINESS LAW JOURNAL 2020年3月号
alo:book:manual:title_4747		2020	レクシスネクシス・ジャパン		BUSINESS LAW JOURNAL 2020年4月号
alo:book:manual:title_4722		2020	レクシスネクシス・ジャパン		BUSINESS LAW JOURNAL 2020年5月号
alo:book:manual:title_4682		2020	レクシスネクシス・ジャパン		BUSINESS LAW JOURNAL 2020年6月号
alo:book:manual:title_3674		2022	日本商事仲裁協会		JCAジャーナル 2022年11月号
alo:book:manual:title_2784		2025	BUSINESS LAWYERS	琴浦 諒(弁護士)	GLOBAL LAW UPDATE インドの最新法制度動向
alo:book:manual:title_2752		2025	BUSINESS LAWYERS	池田 孝宏(弁護士), 伊勢谷 勇人(弁護士)	GLOBAL LAW UPDATE インドネシアの最新法制度動向
alo:book:manual:title_2783		2025	BUSINESS LAWYERS	安西 明毅(弁護士)	GLOBAL LAW UPDATE タイの最新法制度動向
alo:book:manual:title_2629		2025	BUSINESS LAWYERS	安西 明毅(弁護士)	GLOBAL LAW UPDATE タイの最新法制度動向ータイの休暇、休日に関する制度について
alo:book:manual:title_2701		2025	BUSINESS LAWYERS	山口 健次郎(弁護士)	GLOBAL LAW UPDATE フィリピンの最新法制度動向
alo:book:manual:title_2674		2025	BUSINESS LAWYERS	長田 真理子(弁護士)	GLOBAL LAW UPDATE マレーシアの最新法制度動向
alo:book:manual:title_2724		2025	BUSINESS LAWYERS	若林 耕(弁護士), 尾関 麻帆(弁護士)	GLOBAL LAW UPDATE 中国の最新法制度動向
alo:book:manual:title_2651		2025	BUSINESS LAWYERS	若林 耕(弁護士)	GLOBAL LAW UPDATE 中国の最新法制度動向ー中国におけるデータ知的財産権の登録制度の試み
alo:book:manual:title_2605		2025	BUSINESS LAWYERS	呉 曉青(外国法事務弁護士)	GLOBAL LAW UPDATE 台湾の最新法制度動向ー台湾個人情報保護法の最新改正動向について
alo:book:manual:title_2681		2025	BUSINESS LAWYERS	中崎 尚(弁護士)	GLOBAL LAW UPDATE 米国・EUの最新法制度動向
alo:book:manual:title_2601		2025	BUSINESS LAWYERS	中崎 尚(弁護士)	GLOBAL LAW UPDATE 米国・EUの最新法制度動向(AI・データ保護・プライバシー関連)ー2026年8月の全面施行を控えたEU AI法の準備状況と、州単位でモザイク化の進む米国のAI規制の動向とトランプ政権が打ち出したAIアクションプラン、Anthropic判決のその後
alo:book:manual:title_2641		2025	BUSINESS LAWYERS	中崎 尚(弁護士)	GLOBAL LAW UPDATE 米国・EUの最新法制度動向(AI・データ保護・プライバシー関連)ー米国で進むフェアユースの議論と施行間近のEU AI法の一般目的AI規制、その他直近のAI規制・データ保護法制、国際標準策定の動向
alo:book:manual:title_2751		2025	BUSINESS LAWYERS	中崎 尚(弁護士)	GLOBAL LAW UPDATE 米国・EUの最新法制度動向【AI・データ保護・プライバシー関連】
alo:book:manual:title_2650		2025	BUSINESS LAWYERS	龍野 滋幹(弁護士), 曺 貴鎬(弁護士), 林 載允(弁護士)	GLOBAL LAW UPDATE 韓国の最新法制度動向ー韓国の少数株主の利益保護に向けた商法改正について
alo:book:manual:title_2680		2025	BUSINESS LAWYERS	中村 祐子(香港弁護士), 横井 傑(弁護士), 藤本 博之(弁護士)	GLOBAL LAW UPDATE 香港の最新法制度動向
alo:book:manual:title_4320		2021	日本評論社		ICT教育時代の法学教材と著作権
alo:book:manual:title_5741		2015	日本商事仲裁協会		JCAジャーナル 2015年10月号
alo:book:manual:title_5733		2015	日本商事仲裁協会		JCAジャーナル 2015年11月号
alo:book:manual:title_5718		2015	日本商事仲裁協会		JCAジャーナル 2015年12月号
alo:book:manual:title_5835		2015	日本商事仲裁協会		JCAジャーナル 2015年1月号
alo:book:manual:title_5825		2015	日本商事仲裁協会		JCAジャーナル 2015年2月号
alo:book:manual:title_5822		2015	日本商事仲裁協会		JCAジャーナル 2015年3月号
alo:book:manual:title_5808		2015	日本商事仲裁協会		JCAジャーナル 2015年4月号
alo:book:manual:title_5797		2015	日本商事仲裁協会		JCAジャーナル 2015年5月号
alo:book:manual:title_5785		2015	日本商事仲裁協会		JCAジャーナル 2015年6月号
alo:book:manual:title_5773		2015	日本商事仲裁協会		JCAジャーナル 2015年7月号
alo:book:manual:title_5762		2015	日本商事仲裁協会		JCAジャーナル 2015年8月号
alo:book:manual:title_5755		2015	日本商事仲裁協会		JCAジャーナル 2015年9月号
alo:book:manual:title_5606		2016	日本商事仲裁協会		JCAジャーナル 2016年10月号
alo:book:manual:title_5592		2016	日本商事仲裁協会		JCAジャーナル 2016年11月号
alo:book:manual:title_5574		2016	日本商事仲裁協会		JCAジャーナル 2016年12月号
alo:book:manual:title_5709		2016	日本商事仲裁協会		JCAジャーナル 2016年1月号
alo:book:manual:title_5697		2016	日本商事仲裁協会		JCAジャーナル 2016年2月号
alo:book:manual:title_5690		2016	日本商事仲裁協会		JCAジャーナル 2016年3月号
alo:book:manual:title_5678		2016	日本商事仲裁協会		JCAジャーナル 2016年4月号
alo:book:manual:title_5663		2016	日本商事仲裁協会		JCAジャーナル 2016年5月号
alo:book:manual:title_5648		2016	日本商事仲裁協会		JCAジャーナル 2016年6月号
alo:book:manual:title_5638		2016	日本商事仲裁協会		JCAジャーナル 2016年7月号
alo:book:manual:title_5625		2016	日本商事仲裁協会		JCAジャーナル 2016年8月号
alo:book:manual:title_5615		2016	日本商事仲裁協会		JCAジャーナル 2016年9月号
alo:book:manual:title_5381		2017	日本商事仲裁協会		JCAジャーナル 2017年10月号
alo:book:manual:title_5365		2017	日本商事仲裁協会		JCAジャーナル 2017年11月号
alo:book:manual:title_5346		2017	日本商事仲裁協会		JCAジャーナル 2017年12月号
alo:book:manual:title_5560		2017	日本商事仲裁協会		JCAジャーナル 2017年1月号
alo:book:manual:title_5538		2017	日本商事仲裁協会		JCAジャーナル 2017年2月号
alo:book:manual:title_5520		2017	日本商事仲裁協会		JCAジャーナル 2017年3月号
alo:book:manual:title_5497		2017	日本商事仲裁協会		JCAジャーナル 2017年4月号
alo:book:manual:title_5475		2017	日本商事仲裁協会		JCAジャーナル 2017年5月号
alo:book:manual:title_5457		2017	日本商事仲裁協会		JCAジャーナル 2017年6月号
alo:book:manual:title_5434		2017	日本商事仲裁協会		JCAジャーナル 2017年7月号
alo:book:manual:title_2938		2024	日本商事仲裁協会		JCAジャーナル 2024年9月号
alo:book:manual:title_2604		2025	日本商事仲裁協会		JCAジャーナル 2025年10月号
alo:book:manual:title_2829		2025	日本商事仲裁協会		JCAジャーナル 2025年1月号
alo:book:manual:title_2807		2025	日本商事仲裁協会		JCAジャーナル 2025年2月号
alo:book:manual:title_2781		2025	日本商事仲裁協会		JCAジャーナル 2025年3月号
alo:book:manual:title_2750		2025	日本商事仲裁協会		JCAジャーナル 2025年4月号
alo:book:manual:title_2716		2025	日本商事仲裁協会		JCAジャーナル 2025年5月号
alo:book:manual:title_2694		2025	日本商事仲裁協会		JCAジャーナル 2025年6月号
alo:book:manual:title_2673		2025	日本商事仲裁協会		JCAジャーナル 2025年7月号
alo:book:manual:title_2649		2025	日本商事仲裁協会		JCAジャーナル 2025年8月号
alo:book:manual:title_2628		2025	日本商事仲裁協会		JCAジャーナル 2025年9月号
alo:book:manual:title_4940		2019	日本商事仲裁協会		JCAジャーナル2019年7月号
alo:book:manual:title_2755		2025	民事法研究会		Law & Technology107号 「《座談会》知的財産制度改革20年の歩みと今後の展望」特別公開版
alo:book:manual:title_5856		2014	中央経済社	プライスウォーターハウスクーパース株式会社(編集)	M&Aを成功に導く財務デューデリジェンスの実務〈第4版〉
alo:book:manual:title_2885		2024	新日本法規出版	末啓一郎(編著), 安藤広人(編著)	Q&A IT化社会における企業の情報/労務管理の実務
alo:book:manual:title_4493		2020	新日本法規出版	天海義彦(共著), 渡辺 晋(共著), 古屋丈順(共著), 橋本 潤, 村山輝紀, 山本幸太郎, 青木康洋, 久保田理広	Q&A 不動産の権利調整をめぐる実務-複雑な権利関係への対応-
alo:book:manual:title_5713		2015	日本加除出版	小池信行(監修), 藤谷定勝(監修), 不動産登記実務研究会(編著)	Q&A 権利に関する登記の実務XIV 第7編 信託に関する登記/判決による登記 代位による登記
alo:book:manual:title_3574		2023	新日本法規出版	田辺総合法律事務所(編集), 弁護士法人色川法律事務所(編集)	Q&A 民事保全・執行 実務の勘どころ110
alo:book:manual:title_3856		2022	中央経済社	日本組織内弁護士協会(監修), 上野 陽子(編集代表), 伊藤 淳(編集), 中崎 隆(編集)	Q&Aでわかる業種別法務キャッシュレス決済
alo:book:manual:title_4775		2020	中央経済社	日本組織内弁護士協会(監修), 榊 哲道(編集)	Q&Aでわかる業種別法務証券・資産運用
alo:book:manual:title_4932		2019	中央経済社	日本組織内弁護士協会(監修), 桑原 秀介(編集), 西原 一幸(編集)	Q&Aでわかる業種別法務銀行
alo:book:manual:title_4196		2021	日本加除出版	関原 秀行	Q&Aで学ぶ 企業におけるパーソナルデータ利活用の法律実務-令和2年改正個人情報保護法と実務対応-
alo:book:manual:title_5639		2016	日本加除出版	水野 有子	Q&A家事事件手続法下の離婚調停-人事訴訟と家事審判を踏まえて-
alo:book:manual:title_3827		2022	日本評論社		”Hate Speech in Japan”を論じる
alo:book:manual:title_2777	032400882	2025	日本評論社		「働くこと」を考える
alo:book:manual:title_3545		2023	日本評論社		「危機は法を破る」のか?
alo:book:manual:title_3239		2023	日本評論社		「地域」の分野横断的・学際的検討
alo:book:manual:title_2746		2025	日本評論社		「契約の死」を超えて
alo:book:manual:title_3826		2022	日本評論社		「婚姻の自由」の現代的諸相
alo:book:manual:title_3064		2024	日本評論社		「欠乏」の時代を考える
alo:book:manual:title_4909		2019	金融財政事情研究会	一般社団法人金融財政事情研究会(編集)	「登記制度・土地所有権の在り方等に関する研究報告書の概要~所有者不明土地問題の解決に向けて~」の概要
alo:book:manual:title_4283		2021	日本評論社		「裁判官対話」の地平
alo:book:manual:title_3287		2023	三修社	木島 康雄(監修)	図解で早わかり 改訂新版 刑法のしくみ
alo:book:manual:title_4106		2021	日本評論社		【創刊800号記念】時をかける判例
alo:book:manual:title_5279		2018	新日本法規出版	飯塚美幸	〔平成30年度税制改正対応版〕目的別 生前贈与のポイントと活用事例
alo:book:manual:title_4504		2020	日本評論社		いま、社会のあり方を考える
alo:book:manual:title_3331		2023	日本評論社		いまこそ知りたい「税法」入門
